class_id = 148, name = font_3_Q, ap = 98.79        (TP = 179, FP = 12) 
class_id = 149, name = font_3_R, ap = 99.73        (TP = 213, FP = 9) 
class_id = 150, name = font_3_S, ap = 99.86        (TP = 188, FP = 1) 
class_id = 151, name = font_3_T, ap = 98.56        (TP = 550, FP = 21) 
class_id = 152, name = font_4_b, ap = 99.66        (TP = 239, FP = 13) 
class_id = 153, name = font_4_c, ap = 98.15        (TP = 228, FP = 19) 
class_id = 154, name = font_4_d, ap = 99.85        (TP = 248, FP = 4) 
class_id = 155, name = font_4_e, ap = 99.77        (TP = 260, FP = 5) 
class_id = 156, name = font_4_f, ap = 96.97        (TP = 261, FP = 13) 
class_id = 157, name = font_4_g, ap = 99.70        (TP = 252, FP = 9) 
class_id = 158, name = font_4_h, ap = 99.31        (TP = 230, FP = 9) 
class_id = 159, name = font_4_i, ap = 95.36        (TP = 210, FP = 18) 
class_id = 160, name = font_4_j, ap = 98.59        (TP = 205, FP = 9) 
class_id = 161, name = font_4_k, ap = 98.28        (TP = 369, FP = 14) 
class_id = 162, name = font_4_l, ap = 96.14        (TP = 321, FP = 16) 
class_id = 163, name = font_4_m, ap = 98.57        (TP = 179, FP = 3) 
class_id = 164, name = font_4_n, ap = 98.55        (TP = 188, FP = 6) 
class_id = 165, name = font_4_o, ap = 98.82        (TP = 175, FP = 5) 
class_id = 166, name = font_4_p, ap = 98.91        (TP = 177, FP = 8) 
class_id = 167, name = font_4_q, ap = 99.05        (TP = 200, FP = 6) 
class_id = 168, name = font_4_r, ap = 97.42        (TP = 223, FP = 9) 
class_id = 169, name = font_4_s, ap = 97.80        (TP = 180, FP = 4) 
class_id = 170, name = font_4_t, ap = 97.74        (TP = 519, FP = 21) 
class_id = 171, name = font_4_B, ap = 98.38        (TP = 232, FP = 18) 
class_id = 172, name = font_4_C, ap = 97.02        (TP = 223, FP = 18) 
class_id = 173, name = font_4_D, ap = 98.51        (TP = 238, FP = 13) 
class_id = 174, name = font_4_E, ap = 98.28        (TP = 241, FP = 17) 
class_id = 175, name = font_4_F, ap = 96.93        (TP = 247, FP = 12) 
class_id = 176, name = font_4_G, ap = 98.77        (TP = 237, FP = 8) 
class_id = 177, name = font_4_H, ap = 98.42        (TP = 255, FP = 8) 
class_id = 178, name = font_4_I, ap = 96.89        (TP = 212, FP = 7) 
class_id = 179, name = font_4_J, ap = 96.98        (TP = 198, FP = 10) 
class_id = 180, name = font_4_K, ap = 97.67        (TP = 389, FP = 6) 
class_id = 181, name = font_4_L, ap = 95.88        (TP = 312, FP = 13) 
class_id = 182, name = font_4_M, ap = 98.98        (TP = 191, FP = 3) 
class_id = 183, name = font_4_N, ap = 99.08        (TP = 184, FP = 7) 
class_id = 184, name = font_4_O, ap = 98.94        (TP = 183, FP = 8) 
class_id = 185, name = font_4_P, ap = 98.76        (TP = 168, FP = 4) 
class_id = 186, name = font_4_Q, ap = 99.70        (TP = 180, FP = 2) 
class_id = 187, name = font_4_R, ap = 98.70        (TP = 207, FP = 10) 
class_id = 188, name = font_4_S, ap = 97.78        (TP = 186, FP = 7) 
class_id = 189, name = font_4_T, ap = 95.71        (TP = 517, FP = 35) 
class_id = 190, name = font_5_b, ap = 99.96        (TP = 240, FP = 4) 
class_id = 191, name = font_5_c, ap = 98.35        (TP = 233, FP = 8) 
class_id = 192, name = font_5_d, ap = 99.95        (TP = 250, FP = 1) 
class_id = 193, name = font_5_e, ap = 99.03        (TP = 258, FP = 4) 
class_id = 194, name = font_5_f, ap = 99.63        (TP = 269, FP = 2) 
class_id = 195, name = font_5_g, ap = 99.59        (TP = 253, FP = 3) 
class_id = 196, name = font_5_h, ap = 99.70        (TP = 228, FP = 2) 
class_id = 197, name = font_5_i, ap = 98.67        (TP = 216, FP = 6) 
class_id = 198, name = font_5_j, ap = 99.31        (TP = 212, FP = 5) 
class_id = 199, name = font_5_k, ap = 99.82        (TP = 385, FP = 7) 
class_id = 200, name = font_5_l, ap = 99.08        (TP = 340, FP = 6) 
class_id = 201, name = font_5_m, ap = 99.79        (TP = 183, FP = 3) 
class_id = 202, name = font_5_n, ap = 98.85        (TP = 187, FP = 7) 
class_id = 203, name = font_5_o, ap = 99.09        (TP = 173, FP = 0) 
class_id = 204, name = font_5_p, ap = 99.86        (TP = 181, FP = 2) 
class_id = 205, name = font_5_q, ap = 99.97        (TP = 207, FP = 1) 
class_id = 206, name = font_5_r, ap = 98.96        (TP = 227, FP = 4) 
class_id = 207, name = font_5_s, ap = 99.22        (TP = 183, FP = 3) 
class_id = 208, name = font_5_t, ap = 99.14        (TP = 530, FP = 5) 
class_id = 209, name = font_5_B, ap = 97.95        (TP = 233, FP = 7) 
class_id = 210, name = font_5_C, ap = 95.46        (TP = 222, FP = 14) 
class_id = 211, name = font_5_D, ap = 100.00        (TP = 250, FP = 0) 
class_id = 212, name = font_5_E, ap = 99.10        (TP = 251, FP = 2) 
class_id = 213, name = font_5_F, ap = 99.90        (TP = 258, FP = 2) 
class_id = 214, name = font_5_G, ap = 98.46        (TP = 242, FP = 2) 
class_id = 215, name = font_5_H, ap = 99.76        (TP = 263, FP = 5) 
class_id = 216, name = font_5_I, ap = 99.34        (TP = 221, FP = 3) 
class_id = 217, name = font_5_J, ap = 99.95        (TP = 222, FP = 2) 
class_id = 218, name = font_5_K, ap = 98.66        (TP = 392, FP = 12) 
class_id = 219, name = font_5_L, ap = 98.94        (TP = 337, FP = 9) 
class_id = 220, name = font_5_M, ap = 99.24        (TP = 199, FP = 7) 
class_id = 221, name = font_5_N, ap = 99.72        (TP = 188, FP = 5) 
class_id = 222, name = font_5_O, ap = 99.70        (TP = 182, FP = 3) 
class_id = 223, name = font_5_P, ap = 98.61        (TP = 172, FP = 4) 
class_id = 224, name = font_5_Q, ap = 99.39        (TP = 180, FP = 4) 
class_id = 225, name = font_5_R, ap = 98.68        (TP = 208, FP = 4) 
class_id = 226, name = font_5_S, ap = 98.82        (TP = 184, FP = 6) 
class_id = 227, name = font_5_T, ap = 99.20        (TP = 556, FP = 9) 
class_id = 228, name = font_6_b, ap = 96.42        (TP = 220, FP = 6) 
class_id = 229, name = font_6_c, ap = 99.82        (TP = 235, FP = 3) 
class_id = 230, name = font_6_d, ap = 99.92        (TP = 247, FP = 3) 
class_id = 231, name = font_6_e, ap = 99.52        (TP = 255, FP = 5) 
class_id = 232, name = font_6_f, ap = 98.76        (TP = 264, FP = 5) 
class_id = 233, name = font_6_g, ap = 99.85        (TP = 248, FP = 3) 
class_id = 234, name = font_6_h, ap = 99.68        (TP = 227, FP = 4) 
class_id = 235, name = font_6_i, ap = 99.37        (TP = 221, FP = 5) 
class_id = 236, name = font_6_j, ap = 99.16        (TP = 213, FP = 2) 
class_id = 237, name = font_6_k, ap = 99.88        (TP = 382, FP = 7) 
class_id = 238, name = font_6_l, ap = 99.54        (TP = 339, FP = 6) 
class_id = 239, name = font_6_m, ap = 99.34        (TP = 184, FP = 4) 
class_id = 240, name = font_6_n, ap = 99.60        (TP = 192, FP = 5) 
class_id = 241, name = font_6_o, ap = 99.63        (TP = 177, FP = 3) 
class_id = 242, name = font_6_p, ap = 99.61        (TP = 177, FP = 6) 
class_id = 243, name = font_6_q, ap = 99.94        (TP = 206, FP = 0) 
class_id = 244, name = font_6_r, ap = 98.16        (TP = 221, FP = 6) 
class_id = 245, name = font_6_s, ap = 99.31        (TP = 176, FP = 1) 
class_id = 246, name = font_6_t, ap = 99.58        (TP = 539, FP = 13) 
class_id = 247, name = font_6_B, ap = 99.28        (TP = 237, FP = 3) 
class_id = 248, name = font_6_C, ap = 99.45        (TP = 235, FP = 1) 
class_id = 249, name = font_6_D, ap = 99.50        (TP = 245, FP = 3) 
class_id = 250, name = font_6_E, ap = 99.18        (TP = 243, FP = 4) 
class_id = 251, name = font_6_F, ap = 99.04        (TP = 255, FP = 10) 
class_id = 252, name = font_6_G, ap = 99.82        (TP = 240, FP = 0) 
class_id = 253, name = font_6_H, ap = 99.94        (TP = 261, FP = 4) 
class_id = 254, name = font_6_I, ap = 91.88        (TP = 194, FP = 9) 
class_id = 255, name = font_6_J, ap = 99.90        (TP = 218, FP = 1) 
class_id = 256, name = font_6_K, ap = 99.21        (TP = 395, FP = 6) 
class_id = 257, name = font_6_L, ap = 99.75        (TP = 342, FP = 5) 
class_id = 258, name = font_6_M, ap = 99.69        (TP = 196, FP = 4) 
class_id = 259, name = font_6_N, ap = 97.48        (TP = 180, FP = 5) 
class_id = 260, name = font_6_O, ap = 99.67        (TP = 188, FP = 4) 
class_id = 261, name = font_6_P, ap = 98.26        (TP = 171, FP = 5) 
class_id = 262, name = font_6_Q, ap = 98.85        (TP = 175, FP = 7) 
class_id = 263, name = font_6_R, ap = 99.04        (TP = 210, FP = 1) 
class_id = 264, name = font_6_S, ap = 98.92        (TP = 185, FP = 1) 
class_id = 265, name = font_6_T, ap = 99.63        (TP = 564, FP = 4) 
class_id = 266, name = font_7_b, ap = 98.81        (TP = 230, FP = 5) 
class_id = 267, name = font_7_c, ap = 98.49        (TP = 227, FP = 12) 
class_id = 268, name = font_7_d, ap = 99.24        (TP = 245, FP = 5) 
class_id = 269, name = font_7_e, ap = 99.32        (TP = 257, FP = 8) 
class_id = 270, name = font_7_f, ap = 99.65        (TP = 261, FP = 4) 
class_id = 271, name = font_7_g, ap = 99.44        (TP = 249, FP = 4) 
class_id = 272, name = font_7_h, ap = 99.87        (TP = 232, FP = 5) 
class_id = 273, name = font_7_i, ap = 98.34        (TP = 221, FP = 10) 
class_id = 274, name = font_7_j, ap = 98.33        (TP = 208, FP = 4) 
class_id = 275, name = font_7_k, ap = 99.52        (TP = 378, FP = 6) 
class_id = 276, name = font_7_l, ap = 98.02        (TP = 331, FP = 24) 
class_id = 277, name = font_7_m, ap = 99.91        (TP = 187, FP = 1) 
class_id = 278, name = font_7_n, ap = 98.36        (TP = 187, FP = 7) 
class_id = 279, name = font_7_o, ap = 98.79        (TP = 171, FP = 2) 
class_id = 280, name = font_7_p, ap = 99.24        (TP = 180, FP = 1) 
class_id = 281, name = font_7_q, ap = 99.28        (TP = 200, FP = 1) 
class_id = 282, name = font_7_r, ap = 97.45        (TP = 220, FP = 8) 
class_id = 283, name = font_7_s, ap = 99.04        (TP = 181, FP = 3) 
class_id = 284, name = font_7_t, ap = 98.85        (TP = 538, FP = 18) 
class_id = 285, name = font_7_B, ap = 99.29        (TP = 232, FP = 7) 
class_id = 286, name = font_7_C, ap = 99.41        (TP = 235, FP = 4) 
class_id = 287, name = font_7_D, ap = 99.79        (TP = 245, FP = 2) 
class_id = 288, name = font_7_E, ap = 99.99        (TP = 255, FP = 1) 
class_id = 289, name = font_7_F, ap = 99.71        (TP = 256, FP = 12) 
class_id = 290, name = font_7_G, ap = 99.97        (TP = 252, FP = 3) 
class_id = 291, name = font_7_H, ap = 99.81        (TP = 264, FP = 10) 
class_id = 292, name = font_7_I, ap = 98.90        (TP = 213, FP = 6) 
class_id = 293, name = font_7_J, ap = 98.12        (TP = 218, FP = 26) 
class_id = 294, name = font_7_K, ap = 99.97        (TP = 408, FP = 9) 
class_id = 295, name = font_7_L, ap = 99.48        (TP = 339, FP = 6) 
class_id = 296, name = font_7_M, ap = 99.47        (TP = 199, FP = 5) 
class_id = 297, name = font_7_N, ap = 99.64        (TP = 187, FP = 5) 
class_id = 298, name = font_7_O, ap = 98.97        (TP = 179, FP = 3) 
